id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
1992,"ministerio.meio.ambiente,ministerio.planejamento.orcamento.gestao","Ministério do Meio Ambiente; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6858
1993,"ministerio.planejamento.orcamento.gestao,presidencia.republica;secretaria.direitos.humanos","Ministério do Planejamento, Orçamento e Gestão; Presidência da República. Secretaria de Direitos Humanos",pt-BR,,,,,label_6859
1994,"ministerio.cultura,ministerio.planejamento.orcamento.gestao","Ministério da Cultura; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6860
1995,"ministerio.desenvolvimento.agrario,ministerio.planejamento.orcamento.gestao","Ministério do Desenvolvimento Agrário; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6861
1996,"ministerio.desenvolvimento.social.combate.fome,ministerio.planejamento.orcamento.gestao","Ministério do Desenvolvimento Social e Combate à Forme; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6862
1997,"ministerio.defesa,ministerio.fazenda,ministerio.planejamento.orcamento.gestao","Ministério da Defesa; Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6863
1998,"ministerio.minas.energia,ministerio.planejamento.orcamento.gestao","Ministério de Minas e Energia; Ministério do Planejamento, Orçamento e Gestão",pt-BR,,,,,label_6864
1999,"advocacia-geral.uniao,ministerio.justica","Advocacia-Geral da União; Ministério da Justiça",pt-BR,,,,,label_6865
2000,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.extintos.territorios,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Extintos Territórios",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Extintos Territórios",label_6866
2001,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.elaboracao.consolidacao.sistematizacao.normas,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Elaboração, Consolidação e Sistematização das Normas",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Elaboração, Consolidação e Sistematização das Normas",label_6867
2002,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.procedimentos.judiciais.pessoal,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Procedimentos Judiciais de Pessoal",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Procedimentos Judiciais de Pessoal",label_6868
2004,tribunal.regional.trabalho;vice.corregedoria.regional,"Tribunal Regional do Trabalho. Vice-Corregedoria Regional",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Vice-Corregedoria Regional,label_6871
