id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2283,br:supremo.tribunal.federal:acordao;ai.ed.edv.agr,AI-ED-EDv-AgR,pt-BR,"Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento",#acordao,AI-ED-EDv-AgR – Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento,Jurisprudência::Acórdão,label_6272
2284,br:supremo.tribunal.federal:acordao;ac.mc.ref,AC-MC-Ref,pt-BR,"Referendo na Medida Cautelar na Ação Cautelar",#acordao,AC-MC-Ref – Referendo na Medida Cautelar na Ação Cautelar,Jurisprudência::Acórdão,label_6274
2285,br:supremo.tribunal.federal:acordao;ap.agr.decimo,AP-AgR-Décimo,pt-BR,"Décimo Agravo Regimental na Ação Penal",#acordao,AP-AgR-Décimo – Décimo Agravo Regimental na Ação Penal,Jurisprudência::Acórdão,label_6276
2286,br:supremo.tribunal.federal:acordao;hc.agr.agr.edv.agr,HC-AgR-AgR-EDv-AgR,pt-BR,"Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Agravo Regimental no Habeas Corpus",#acordao,HC-AgR-AgR-EDv-AgR – Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Agravo Regimental no Habeas Corpus,Jurisprudência::Acórdão,label_6278
2287,br:supremo.tribunal.federal:acordao;ar.execucao.agr,AR-Execucao-AgR,pt-BR,"Agravo Regimental na Execução na Ação Rescisória",#acordao,AR-Execucao-AgR – Agravo Regimental na Execução na Ação Rescisória,Jurisprudência::Acórdão,label_6280
2288,br:supremo.tribunal.federal:acordao;ai.agr.edv.ed.segundos,AI-AgR-EDv-ED-segundos,pt-BR,"Segundos Embargos de Declaração nos Embargos de Divergência no Agravo Regimental no Agravo de Instrumento",#acordao,AI-AgR-EDv-ED-segundos – Segundos Embargos de Declaração nos Embargos de Divergência no Agravo Regimental no Agravo de Instrumento,Jurisprudência::Acórdão,label_6287
2289,br:supremo.tribunal.federal:acordao;ai.agr.segundo.ed,AI-AgR-segundo-ED,pt-BR,"Embargos de Declaração no Segundo Agravo Regimental no Agravo de Instrumento",#acordao,AI-AgR-segundo-ED – Embargos de Declaração no Segundo Agravo Regimental no Agravo de Instrumento,Jurisprudência::Acórdão,label_6289
2290,br:supremo.tribunal.federal:acordao;ai.ed.agr.edv.agr.ed,AI-ED-AgR-EDv-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Divergência no Agravo Regimental nos Embargos de Declaração no Agravo de Instrumento",#acordao,AI-ED-AgR-EDv-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Divergência no Agravo Regimental nos Embargos de Declaração no Agravo de Instrumento,Jurisprudência::Acórdão,label_6291
2291,br:supremo.tribunal.federal:acordao;ai.ed.edv.agr.ed,AI-ED-EDv-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento",#acordao,AI-ED-EDv-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento,Jurisprudência::Acórdão,label_6293
2292,br:supremo.tribunal.federal:acordao;ap.agr.decimo.terceiro,"AP-AgR-décimo terceiro",pt-BR,"Décimo Terceiro Agravo Regimental na Ação Penal",#acordao,AP-AgR-décimo terceiro – Décimo Terceiro Agravo Regimental na Ação Penal,Jurisprudência::Acórdão,label_6295
2293,br:supremo.tribunal.federal:acordao;hc.ei.ed,HC-EI-ED,pt-BR,"Embargos de Declaração nos Embargos Infringentes no Habeas Corpus",#acordao,HC-EI-ED – Embargos de Declaração nos Embargos Infringentes no Habeas Corpus,Jurisprudência::Acórdão,label_6297
2294,br:supremo.tribunal.federal:acordao;hc.mc.agr.ed,HC-MC-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental na Medida Cautelar no Habeas Corpus",#acordao,HC-MC-AgR-ED – Embargos de Declaração no Agravo Regimental na Medida Cautelar no Habeas Corpus,Jurisprudência::Acórdão,label_6301
2295,br:supremo.tribunal.federal:acordao;re.agr.ed.ed.edv.agr.ed,RE-AgR-ED-ED-EDv-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimental no Recurso Extraordinário",#acordao,RE-AgR-ED-ED-EDv-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimental no Recurso Extraordinário,Jurisprudência::Acórdão,label_6299
2296,br:supremo.tribunal.federal:acordao;re.agr.edv.agr.ed,RE-AgR-EDv-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Recurso Extraordinário",#acordao,RE-AgR-EDv-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Recurso Extraordinário,Jurisprudência::Acórdão,label_6303
2297,br:supremo.tribunal.federal:acordao;ac.mc.ref.ed,AC-MC-REF-ED,pt-BR,"Embargos de Declaração no Referendo na Medida Cautelar na Ação Cautelar",#acordao,AC-MC-REF-ED – Embargos de Declaração no Referendo na Medida Cautelar na Ação Cautelar,Jurisprudência::Acórdão,label_6310
2298,br:supremo.tribunal.federal:acordao;ai.agr.ed.segundos,AI-AgR-ED-segundos,pt-BR,"Segundos Embargos de Declaração no Agravo Regimental no Agravo de Instrumento",#acordao,AI-AgR-ED-segundos – Segundos Embargos de Declaração no Agravo Regimental no Agravo de Instrumento,Jurisprudência::Acórdão,label_6312
2299,br:supremo.tribunal.federal:acordao;ai.ed.edv.agr.ed.ed,AI-ED-EDv-AgR-ED-ED,pt-BR,"Embargos de Declaração nos Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento",#acordao,AI-ED-EDv-AgR-ED-ED – Embargos de Declaração nos Embargos de Declaração no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento,Jurisprudência::Acórdão,label_6314
