id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
4297,br;bahia;urucuca,"Uruçuca - BA",pt-BR,,#br;bahia,,Municípios::Uruçuca - BA,label_9208
4298,br;bahia;utinga,"Utinga - BA",pt-BR,,#br;bahia,,Municípios::Utinga - BA,label_9209
4299,br;bahia;valenca,"Valença - BA",pt-BR,,#br;bahia,,Municípios::Valença - BA,label_9210
4300,br;bahia;valente,"Valente - BA",pt-BR,,#br;bahia,,Municípios::Valente - BA,label_9211
4301,br;bahia;varzea.roca,"Várzea da Roça - BA",pt-BR,,#br;bahia,,Municípios::Várzea da Roça - BA,label_9212
4302,br;bahia;varzea.poco,"Várzea do Poço - BA",pt-BR,,#br;bahia,,Municípios::Várzea do Poço - BA,label_9213
4303,br;bahia;varzea.nova,"Várzea Nova - BA",pt-BR,,#br;bahia,,Municípios::Várzea Nova - BA,label_9214
4304,br;bahia;varzedo,"Varzedo - BA",pt-BR,,#br;bahia,,Municípios::Varzedo - BA,label_9215
4305,br;bahia;vera.cruz,"Vera Cruz - BA",pt-BR,,#br;bahia,,Municípios::Vera Cruz - BA,label_9216
4306,br;bahia;vereda,"Vereda - BA",pt-BR,,#br;bahia,,Municípios::Vereda - BA,label_9217
4307,br;bahia;vitoria.conquista,"Vitória da Conquista - BA",pt-BR,,#br;bahia,,Municípios::Vitória da Conquista - BA,label_9218
4308,br;bahia;wagner,"Wagner - BA",pt-BR,,#br;bahia,,Municípios::Wagner - BA,label_9219
4309,br;bahia;wanderley,"Wanderley - BA",pt-BR,,#br;bahia,,Municípios::Wanderley - BA,label_9220
4310,br;bahia;wenceslau.guimaraes,"Wenceslau Guimarães - BA",pt-BR,,#br;bahia,,Municípios::Wenceslau Guimarães - BA,label_9221
4311,br;bahia;xique.xique,"Xique-Xique - BA",pt-BR,,#br;bahia,,Municípios::Xique-Xique - BA,label_9222
4312,br;espirito.santo;afonso.claudio,"Afonso Cláudio - ES",pt-BR,,#br;espirito.santo,,Municípios::Afonso Cláudio - ES,label_9223
4313,br;espirito.santo;aguia.branca,"Águia Branca - ES",pt-BR,,#br;espirito.santo,,Municípios::Águia Branca - ES,label_9224
4314,br;espirito.santo;agua.doce.norte,"Água Doce do Norte - ES",pt-BR,,#br;espirito.santo,,Municípios::Água Doce do Norte - ES,label_9225
4315,br;espirito.santo;alegre,"Alegre - ES",pt-BR,,#br;espirito.santo,,Municípios::Alegre - ES,label_9226
4316,br;espirito.santo;alfredo.chaves,"Alfredo Chaves - ES",pt-BR,,#br;espirito.santo,,Municípios::Alfredo Chaves - ES,label_9227
4317,br;espirito.santo;alto.rio.novo,"Alto Rio Novo - ES",pt-BR,,#br;espirito.santo,,Municípios::Alto Rio Novo - ES,label_9228
4318,br;espirito.santo;anchieta,"Anchieta - ES",pt-BR,,#br;espirito.santo,,Municípios::Anchieta - ES,label_9229
4319,br;espirito.santo;apiaca,"Apiacá - ES",pt-BR,,#br;espirito.santo,,Municípios::Apiacá - ES,label_9230
4320,br;espirito.santo;aracruz,"Aracruz - ES",pt-BR,,#br;espirito.santo,,Municípios::Aracruz - ES,label_9231
4321,br;espirito.santo;atilio.vivacqua,"Atilio Vivacqua - ES",pt-BR,,#br;espirito.santo,,Municípios::Atilio Vivacqua - ES,label_9232
4322,br;espirito.santo;baixo.guandu,"Baixo Guandu - ES",pt-BR,,#br;espirito.santo,,Municípios::Baixo Guandu - ES,label_9233
4323,br;espirito.santo;barra.sao.francisco,"Barra de São Francisco - ES",pt-BR,,#br;espirito.santo,,Municípios::Barra de São Francisco - ES,label_9234
4324,br;espirito.santo;boa.esperanca,"Boa Esperança - ES",pt-BR,,#br;espirito.santo,,Municípios::Boa Esperança - ES,label_9235
4325,br;espirito.santo;bom.jesus.norte,"Bom Jesus do Norte - ES",pt-BR,,#br;espirito.santo,,Municípios::Bom Jesus do Norte - ES,label_9236
4326,br;espirito.santo;brejetuba,"Brejetuba - ES",pt-BR,,#br;espirito.santo,,Municípios::Brejetuba - ES,label_9237
4327,br;espirito.santo;cariacica,"Cariacica - ES",pt-BR,,#br;espirito.santo,,Municípios::Cariacica - ES,label_9238
4328,br;espirito.santo;castelo,"Castelo - ES",pt-BR,,#br;espirito.santo,,Municípios::Castelo - ES,label_9239
4329,br;espirito.santo;colatina,"Colatina - ES",pt-BR,,#br;espirito.santo,,Municípios::Colatina - ES,label_9240
4330,br;espirito.santo;conceicao.barra,"Conceição da Barra - ES",pt-BR,,#br;espirito.santo,,Municípios::Conceição da Barra - ES,label_9241
4331,br;espirito.santo;conceicao.castelo,"Conceição do Castelo - ES",pt-BR,,#br;espirito.santo,,Municípios::Conceição do Castelo - ES,label_9242
4332,br;espirito.santo;divino.sao.lourenco,"Divino de São Lourenço - ES",pt-BR,,#br;espirito.santo,,Municípios::Divino de São Lourenço - ES,label_9243
4333,br;espirito.santo;dores.rio.preto,"Dores do Rio Preto - ES",pt-BR,,#br;espirito.santo,,Municípios::Dores do Rio Preto - ES,label_9244
4334,br;espirito.santo;ecoporanga,"Ecoporanga - ES",pt-BR,,#br;espirito.santo,,Municípios::Ecoporanga - ES,label_9245
4335,br;espirito.santo;fundao,"Fundão - ES",pt-BR,,#br;espirito.santo,,Municípios::Fundão - ES,label_9246
4336,br;espirito.santo;governador.lindenberg,"Governador Lindenberg - ES",pt-BR,,#br;espirito.santo,,Municípios::Governador Lindenberg - ES,label_9247
4337,br;espirito.santo;guacui,"Guaçuí - ES",pt-BR,,#br;espirito.santo,,Municípios::Guaçuí - ES,label_9248
4338,br;espirito.santo;guarapari,"Guarapari - ES",pt-BR,,#br;espirito.santo,,Municípios::Guarapari - ES,label_9249
4339,br;espirito.santo;ibatiba,"Ibatiba - ES",pt-BR,,#br;espirito.santo,,Municípios::Ibatiba - ES,label_9250
4340,br;espirito.santo;ibiracu,"Ibiraçu - ES",pt-BR,,#br;espirito.santo,,Municípios::Ibiraçu - ES,label_9251
4341,br;espirito.santo;ibitirama,"Ibitirama - ES",pt-BR,,#br;espirito.santo,,Municípios::Ibitirama - ES,label_9252
4342,br;espirito.santo;iconha,"Iconha - ES",pt-BR,,#br;espirito.santo,,Municípios::Iconha - ES,label_9253
4343,br;espirito.santo;irupi,"Irupi - ES",pt-BR,,#br;espirito.santo,,Municípios::Irupi - ES,label_9254
4344,br;espirito.santo;itaguacu,"Itaguaçu - ES",pt-BR,,#br;espirito.santo,,Municípios::Itaguaçu - ES,label_9255
4345,br;espirito.santo;itapemirim,"Itapemirim - ES",pt-BR,,#br;espirito.santo,,Municípios::Itapemirim - ES,label_9256
4346,br;espirito.santo;itarana,"Itarana - ES",pt-BR,,#br;espirito.santo,,Municípios::Itarana - ES,label_9257
4347,br;espirito.santo;iuna,"Iúna - ES",pt-BR,,#br;espirito.santo,,Municípios::Iúna - ES,label_9258
4348,br;espirito.santo;jaguare,"Jaguaré - ES",pt-BR,,#br;espirito.santo,,Municípios::Jaguaré - ES,label_9259
4349,br;espirito.santo;jeronimo.monteiro,"Jerônimo Monteiro - ES",pt-BR,,#br;espirito.santo,,Municípios::Jerônimo Monteiro - ES,label_9260
4350,br;espirito.santo;joao.neiva,"João Neiva - ES",pt-BR,,#br;espirito.santo,,Municípios::João Neiva - ES,label_9261
4351,br;espirito.santo;laranja.terra,"Laranja da Terra - ES",pt-BR,,#br;espirito.santo,,Municípios::Laranja da Terra - ES,label_9262
4352,br;espirito.santo;linhares,"Linhares - ES",pt-BR,,#br;espirito.santo,,Municípios::Linhares - ES,label_9263
4353,br;espirito.santo;mantenopolis,"Mantenópolis - ES",pt-BR,,#br;espirito.santo,,Municípios::Mantenópolis - ES,label_9264
4354,br;espirito.santo;marataizes,"Marataízes - ES",pt-BR,,#br;espirito.santo,,Municípios::Marataízes - ES,label_9265
4355,br;espirito.santo;marechal.floriano,"Marechal Floriano - ES",pt-BR,,#br;espirito.santo,,Municípios::Marechal Floriano - ES,label_9266
4356,br;espirito.santo;marilandia,"Marilândia - ES",pt-BR,,#br;espirito.santo,,Municípios::Marilândia - ES,label_9267
4357,br;espirito.santo;mimoso.sul,"Mimoso do Sul - ES",pt-BR,,#br;espirito.santo,,Municípios::Mimoso do Sul - ES,label_9268
4358,br;espirito.santo;montanha,"Montanha - ES",pt-BR,,#br;espirito.santo,,Municípios::Montanha - ES,label_9269
4359,br;espirito.santo;mucurici,"Mucurici - ES",pt-BR,,#br;espirito.santo,,Municípios::Mucurici - ES,label_9270
4360,br;espirito.santo;muniz.freire,"Muniz Freire - ES",pt-BR,,#br;espirito.santo,,Municípios::Muniz Freire - ES,label_9271
4361,br;espirito.santo;muqui,"Muqui - ES",pt-BR,,#br;espirito.santo,,Municípios::Muqui - ES,label_9272
4362,br;espirito.santo;nova.venecia,"Nova Venécia - ES",pt-BR,,#br;espirito.santo,,Municípios::Nova Venécia - ES,label_9273
4363,br;espirito.santo;pancas,"Pancas - ES",pt-BR,,#br;espirito.santo,,Municípios::Pancas - ES,label_9274
4364,br;espirito.santo;pedro.canario,"Pedro Canário - ES",pt-BR,,#br;espirito.santo,,Municípios::Pedro Canário - ES,label_9275
4365,br;espirito.santo;pinheiros,"Pinheiros - ES",pt-BR,,#br;espirito.santo,,Municípios::Pinheiros - ES,label_9276
4366,br;espirito.santo;piuma,"Piúma - ES",pt-BR,,#br;espirito.santo,,Municípios::Piúma - ES,label_9277
4367,br;espirito.santo;ponto.belo,"Ponto Belo - ES",pt-BR,,#br;espirito.santo,,Municípios::Ponto Belo - ES,label_9278
4368,br;espirito.santo;presidente.kennedy,"Presidente Kennedy - ES",pt-BR,,#br;espirito.santo,,Municípios::Presidente Kennedy - ES,label_9279
4369,br;espirito.santo;rio.bananal,"Rio Bananal - ES",pt-BR,,#br;espirito.santo,,Municípios::Rio Bananal - ES,label_9280
4370,br;espirito.santo;rio.novo.sul,"Rio Novo do Sul - ES",pt-BR,,#br;espirito.santo,,Municípios::Rio Novo do Sul - ES,label_9281
4371,br;espirito.santo;santa.leopoldina,"Santa Leopoldina - ES",pt-BR,,#br;espirito.santo,,Municípios::Santa Leopoldina - ES,label_9282
4372,br;espirito.santo;santa.maria.jetiba,"Santa Maria de Jetibá - ES",pt-BR,,#br;espirito.santo,,Municípios::Santa Maria de Jetibá - ES,label_9283
4373,br;espirito.santo;santa.teresa,"Santa Teresa - ES",pt-BR,,#br;espirito.santo,,Municípios::Santa Teresa - ES,label_9284
4374,br;espirito.santo;sao.domingos.norte,"São Domingos do Norte - ES",pt-BR,,#br;espirito.santo,,Municípios::São Domingos do Norte - ES,label_9285
4375,br;espirito.santo;sao.gabriel.palha,"São Gabriel da Palha - ES",pt-BR,,#br;espirito.santo,,Municípios::São Gabriel da Palha - ES,label_9286
4376,br;espirito.santo;sao.jose.calcado,"São José do Calçado - ES",pt-BR,,#br;espirito.santo,,Municípios::São José do Calçado - ES,label_9287
4377,br;espirito.santo;sao.mateus,"São Mateus - ES",pt-BR,,#br;espirito.santo,,Municípios::São Mateus - ES,label_9288
4378,br;espirito.santo;sao.roque.canaa,"São Roque do Canaã - ES",pt-BR,,#br;espirito.santo,,Municípios::São Roque do Canaã - ES,label_9289
4379,br;espirito.santo;serra,"Serra - ES",pt-BR,,#br;espirito.santo,,Municípios::Serra - ES,label_9290
4380,br;espirito.santo;sooretama,"Sooretama - ES",pt-BR,,#br;espirito.santo,,Municípios::Sooretama - ES,label_9291
4381,br;espirito.santo;vargem.alta,"Vargem Alta - ES",pt-BR,,#br;espirito.santo,,Municípios::Vargem Alta - ES,label_9292
4382,br;espirito.santo;venda.nova.imigrante,"Venda Nova do Imigrante - ES",pt-BR,,#br;espirito.santo,,Municípios::Venda Nova do Imigrante - ES,label_9293
4383,br;espirito.santo;viana,"Viana - ES",pt-BR,,#br;espirito.santo,,Municípios::Viana - ES,label_9294
4384,br;espirito.santo;vila.pavao,"Vila Pavão - ES",pt-BR,,#br;espirito.santo,,Municípios::Vila Pavão - ES,label_9295
4385,br;espirito.santo;vila.valerio,"Vila Valério - ES",pt-BR,,#br;espirito.santo,,Municípios::Vila Valério - ES,label_9296
4386,br;espirito.santo;vila.velha,"Vila Velha - ES",pt-BR,,#br;espirito.santo,,Municípios::Vila Velha - ES,label_9297
4387,br;espirito.santo;vitoria,"Vitória - ES",pt-BR,,#br;espirito.santo,,Municípios::Vitória - ES,label_9298
4388,br;rio.janeiro;angra.reis,"Angra dos Reis - RJ",pt-BR,,#br;rio.janeiro,,Municípios::Angra dos Reis - RJ,label_9299
